1600898804.000000, 1600898804.000000, 1600898804.000000
32.000000, 32.000000, 32.000000
39,2,51
37,1,52
37,2,53
27,2,53
28,1,55
31,2,58
27,1,58
14,1,55
16,1,57
20,2,60
17,2,60
18,2,61
28,3,64
26,4,64
15,2,61
9,1,59
5,2,60
2,1,60
3,0,61
5,1,65
4,1,64
1,1,62
-2,1,64
-5,2,63
-1,2,62
1,2,65
-2,2,66
-1,2,63
-7,1,61
-9,1,62
-9,2,61
-7,1,62
-7,2,65
-9,1,62
-11,1,62
-12,2,63
-9,1,63
-10,2,62
-10,1,63
-17,0,60
-17,0,59
-19,1,61
-21,2,60
-21,1,58
-18,1,62
-18,0,63
-20,-3,62
-20,-3,61
-18,-3,63
-16,-2,64
-16,-3,66
-29,-11,61
-24,-3,57
-12,-3,56
-4,-3,63
-17,-3,59
-27,-4,54
-20,-5,59
-21,5,63
-24,-12,57
-15,-6,65
-12,-1,67
-18,-7,57
-17,-10,59
-20,-9,59
-21,-9,59
-23,-9,59
-21,-14,58
-22,-15,57
-22,-13,59
-24,-15,57
-25,-16,55
-17,-16,59
-19,-17,58
-23,-18,57
-21,-18,59
-23,-17,55
-20,-17,57
-21,-20,58
-21,-17,55
-19,-16,58
-20,-13,59
-23,-13,59
-23,-21,54
-20,-21,60
-19,-19,62
-18,-20,55
-14,-18,59
-12,-17,62
-16,-16,59
-22,-13,57
-17,-15,61
-17,-13,61
-19,-12,59
-22,-13,56
-23,-12,58
-22,-13,57
-24,-10,55
-26,-14,55
-25,-13,57
-25,-13,56
-23,-13,56
-24,-12,56
-25,-12,56
-31,-11,54
-29,-10,56
-27,-8,60
-28,-8,59
-27,-6,59
-27,-5,59
-26,-5,59
-27,-9,58
-28,-9,57
-29,-8,59
-30,-8,60
-33,-7,61
-31,-7,60
-30,-7,59
-30,-7,57
-29,-8,56
-28,-9,57
-28,-9,56
-30,-9,54
-31,-10,54
-31,-10,54
-33,-9,52
-33,-9,53
-33,-10,53
-34,-10,53
-34,-10,53
-35,-11,52
-35,-10,51
-32,-10,50
-33,-11,50
-36,-11,48
-34,-10,48
-33,-10,48
-35,-9,42
-34,-7,39
-21,-3,50
-17,-5,56
-22,-6,55
-34,-5,46
-35,-3,45
-20,1,52
-14,-1,48
1,-3,56
24,-8,57
31,-9,50
40,-11,54
57,-10,45
64,-20,27
53,-13,34
50,-13,34
55,-14,23
56,-16,17
67,-16,4
75,-15,23
83,-13,17
65,-15,-2
63,-11,-3
62,-6,-2
68,-7,-5
58,-10,-7
65,-10,-7
70,-12,-6
67,-18,-12
68,-17,-11
68,-14,-18
58,-10,-17
54,-9,-17
64,-9,-6
62,-9,-13
63,-8,-15
63,-9,-12
63,-8,-14
58,-8,-19
57,-9,-19
59,-9,-18
60,-9,-17
63,-9,-17
63,-9,-16
60,-8,-18
63,-11,-18
56,-11,-23
69,-12,-18
84,-11,-21
104,-11,4
76,-10,-5
66,-19,-16
76,-24,-15
91,-29,-5
77,-38,13
29,-40,-10
10,-37,-11
-19,-28,-2
-31,-26,-1
-31,-16,4
-18,-12,16
127,1,124
76,-22,60
46,-26,27
38,-19,20
43,-22,12
39,-24,8
40,-24,10
63,-25,5
56,-26,-11
60,-21,-1
61,-25,-25
60,-26,-28
62,-25,-36
67,-24,-41
62,-24,-42
49,-25,-38
50,-25,-35
53,-22,-29
50,-21,-36
51,-22,-38
50,-22,-32
49,-22,-26
50,-22,-30
50,-23,-34
51,-23,-30
49,-23,-29
49,-23,-30
49,-24,-28
50,-23,-29
50,-23,-31
51,-22,-29
52,-22,-29
51,-22,-32
50,-22,-31
53,-22,-29
51,-22,-31
51,-23,-29
53,-23,-28
52,-23,-28
53,-23,-29
51,-23,-30
52,-22,-29
51,-22,-29
51,-22,-29
52,-22,-28
51,-22,-28
51,-22,-29
51,-22,-29
52,-22,-29
51,-22,-29
51,-22,-30
51,-23,-30
52,-23,-30
51,-22,-30
51,-23,-29
52,-23,-29
52,-22,-29
52,-22,-30
52,-22,-30
52,-22,-29
51,-22,-30
51,-22,-31
51,-22,-29
51,-23,-28
50,-22,-31
51,-23,-31
50,-22,-30
48,-22,-33
51,-23,-31
52,-23,-32
48,-22,-30
48,-22,-30
50,-21,-34
50,-22,-34
50,-22,-33
50,-22,-36
49,-23,-34
50,-23,-34
49,-23,-35
49,-22,-34
49,-22,-34
49,-22,-36
49,-22,-34
49,-22,-33
49,-22,-34
48,-22,-34
48,-22,-33
48,-22,-34
49,-23,-34
49,-23,-34
49,-22,-35
49,-22,-35
49,-22,-33
48,-22,-34
49,-23,-34
49,-23,-34
48,-22,-34
48,-22,-34
49,-22,-34
49,-22,-33
50,-23,-33
48,-23,-35
49,-22,-33
49,-22,-34
49,-23,-34
50,-23,-33
50,-22,-33
47,-24,-33
49,-22,-28
50,-22,-33
50,-23,-35
49,-22,-33
49,-22,-33
51,-23,-38
54,-22,-24
55,-21,-26
46,-20,-33
47,-20,-31
57,-19,-29
56,-21,-29
55,-21,-27
54,-19,-22
52,-19,-23
53,-17,-24
56,-18,-21
59,-19,-20
54,-17,-15
55,-16,-16
57,-16,-18
53,-15,-18
59,-14,-21
58,-14,-20
58,-14,-18
58,-14,-19
56,-14,-22
61,-13,-16
60,-13,-15
60,-11,-16
60,-10,-15
61,-11,-18
60,-10,-19
62,-10,-16
64,-11,-18
62,-13,-16
66,-16,-14
60,-18,-21
60,-18,-18
67,-19,-12
68,-18,-14
54,-18,-14
64,-17,-11
61,-18,-5
53,-20,-5
57,-22,-8
58,-20,-7
56,-19,-7
58,-19,-8
56,-20,-7
57,-20,-4
57,-22,-5
58,-23,-5
57,-25,-6
58,-24,-4
60,-24,-4
58,-24,-6
57,-23,-5
58,-22,-6
58,-23,-6
58,-22,-5
58,-21,-7
60,-21,-6
59,-22,-5
58,-22,-6
59,-22,-5
59,-22,-4
58,-23,-5
58,-23,-5
58,-23,-5
58,-23,-5
58,-23,-6
57,-22,-6
58,-22,-5
58,-22,-6
58,-22,-6
58,-22,-5
58,-22,-6
59,-22,-6
59,-22,-6
59,-23,-6
59,-23,-6
59,-22,-5
58,-23,-5
58,-23,-5
57,-22,-5
58,-22,-6
58,-22,-6
58,-22,-5
59,-22,-6
59,-22,-7
59,-22,-5
58,-22,-5
59,-22,-4
58,-22,-5
61,-22,-5
59,-23,-7
58,-23,-3
61,-22,-3
58,-21,-2
55,-21,0
60,-22,0
60,-22,-5
59,-22,-5
58,-19,-2
57,-20,-3
58,-19,-2
59,-19,4
59,-18,6
57,-18,1
59,-19,-4
59,-18,0
59,-18,-1
59,-18,-2
